Shloka Number,Title,Head Word,Sub-Head Word,Synonyms,Rasa,Guna,Virya,Vipaka,Karma,,,,
188-191,अथ मञ्जिष्ठा तस्या नामानि गुणान् चाह,मञ्जिष्ठा,,"मंजिष्ठा, विकसा, जिङ्गी, समङ्गा, कालमेषिका, मण्डूकपर्णी, भण्डीरी, भण्डी, योजनवल्ली, रसायनी, अरुणा, काला, रक्ताङ्गी, रक्तयष्टिका, भण्डीतकी, गण्डीरी, मञ्जूषा, वस्ररञ्जिनी    ","मधुर, तिक्त, कषाय",गुरु,उष्ण,,"स्वरवर्णकृत्, विष-श्लेष्म-शोथ-योनि -अक्षि-कर्णरुक्-रक्ता-अतीसार-कुष्ठा-अस्र-वीसर्प-व्रण-मेहनुत्",,,,
192,"अथ कुसुम्भम्, तस्य नामानि गुणान् चाह",कुसुम्भम्,,"कुसुम्भ, वह्निशिख, वस्ररञ्जक",,,,,"वातल, कृच्छ्र-रक्त-पित्त-कफापह",,,,
193-195,अथ लाक्षा तस्या नामानि गुणान् चाह,लाक्षा,,"लाक्षा, पलङ्कषा, अलक्त, याव, वृक्षामय, जतु ",तुवर,"स्निग्धा, लघु",हिमा,,"वर्ण्या, बल्या, कफ-पित्ता-अस्र-हिक्का-कास-ज्वरप्रणुत्, व्रणोरःक्षत-वीसर्प-कृमि-कुष्ठ-गदापहा, अलक्तक, व्यङ्गनाशन",,,,
196-197,अथ हरिद्रा तस्या नामानि गुणान् चाह,हरिद्रा,,"हरिद्रा, काञ्चनी, पीता, निशा, वरवर्णिनी, कृमिघ्नी, हल्दी, योषित्प्रिया, हट्टविलासिनी  ","कटु, तिक्त",रूक्ष,उष्ण,,"कफपित्तनुत्, वर्ण्या, त्वग्दोष-मेहा-अस्र-शोथ-पाण्डु-व्रणापहा",,,,
198-199,अथ कर्पूरहरिद्राया नामानि गुणान् चाह,कर्पूरहरिद्रा,,"दार्वीभेदा, आम्रगन्धा, सुरभीदरु, दारु, कर्पूरा, पद्मपत्रा सुरीमत्, सुरतारका ","मधुरा, तिक्ता",,शीता,,"वातला, पित्तहृत्, सर्वकण्डूविनाशिनी",,,,
200,अथ वनहरिद्राया नामगुणान् चाह,वनहरिद्रा,,,,,,,कन्द-कुष्ठवातास्रनाशन,,,,
201,अथ दारुहरिद्राया नामानि गुणान् चाह,दारुहरिद्रा,,"दार्वी, दारुहरिद्रा, पर्जन्या, पर्जनी, कटकङ्कटेरी, पीता, पचम्पचा, कालीयक, कालेयक, पीतद्रु, हारिद्रु, पीतदारु, पितक",,,,,नेत्रकर्णास्यरोगनुत्,,,,
203-205,अथ दार्वीक्वाथजातं रसाञ्जनम् । तस्य निर्माणविधि नामानि गुणान् चाह,रसाञ्जनम्,,"रसाञ्जन, तार्क्ष्यशैल, रसगर्भ, तार्क्ष्यज","कटु, तिक्त",,उष्ण,,"श्लेष्म-विष-नेत्र-विकारनुत्, रसायन, छेदन, व्रणदोषहृत्",,,,
206-209,अथ बाकुची। तस्या नामानि तत्फलस्य च गुणान् चाह,बाकुची,,"अवल्गुज, बाकुची, सोमराजी, सुपर्णिका, शशिलेखा, कृष्णाफला, सोमा, पूतिफली, सोमवल्ली, कालमेषी, कुष्ठघ्नी  ","मधुरा, तिक्ता",रूक्ष,हिमा,कटु,"रसायनी, विष्टम्भहृत्, रुच्या, सरा, श्लेष्मा-अस्र-पित्तनुत्,हृद्या , श्वास-कुष्ठ-मेह-ज्वर-कृमि-प्रणुत्, पित्तल, कुष्ठ-कफा-अनिलहर, ",,,,
,,फलगुणाः,,,कटु,,,,"केश्य, त्वच्य-कृमि-श्वास-कास-शोथा-आम-पाण्डुनुत्",,,,
210-212,अथ चक्रमर्दः। तस्या नामानि तत्फलस्य च गुणान् चाह,चक्रमर्दः,,"चक्रमर्द, प्रपुन्नट, दद्रुघ्न, मेषलोचन, पद्माट, एडगज, चक्री, पुन्नाट",स्वादु,"लघु, रूक्ष",हिम,,"पित्ता-अनिलापह, हृद्य, कफ-श्वास-कुष्ठ-दद्रु-कृमीहर",,,,
,,तत्फलम्,,,कटु,,उष्ण,,कुष्ठ-कण्डू-दद्रु-विषा-अनिल-गुल्म-कास-क्रिमि-श्वास-नाशन,,,,
213-214,अथ अतिविषा,अतिविषा,,"विषा, अतिविषा, विश्वा, शृङ्गी, प्रतिविषा, अरुणा, शुक्लकन्दा, उपविषा, भङ्गुरा, घुणवल्लभा ","कटु, तिक्त",,उष्णा,,"पाचनी, दीपनी, कफ-पित्ता-अतिसारा-आम-विष-कास-वमि-क्रिमीहर",,,,
215-216,अथ लोध्रः शावरलोध्र पटियालोध इति लोके प्रसिद्धयोर्नामगुणानाह,शावरलोध्रः,,"लोध्र, तिल्व, तिरीट, शावर, गालव",कषाय,लघु,शीत,,"ग्राही, चक्षुष्य, कफपित्तनुत्, रक्त-पित्ता-असृग्ज्वरा-अतीसार-शोथहृत्",,,,
